number,state,title,author,body,created_at,updated_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files,conversation,closed_at,title_length,body_length,has_test,has_bug,has_feature,has_document,has_improve,has_refactor,files_updated,comment_num,comment_length,total_changes,total_additions_commit,total_deletions_commit,commit_authors_count,commit_count,unique_reviewers,total_comments,first_comment_time,project
268401,open,RFC: Chat Agent Queued Messages – Service-Based Queuing Architecture,digitarald,"# Chat Agent Queued Messages – Implementation Plan

## Summary
Enable queued user messages in the chat experience using a service-based architecture. While a chat request is in progress, additional submissions are queued (not lost), surfaced via a status bar indicator, and automatically dispatched as a single numbered Markdown list when the current request completes. Attachments from only the most recent queued message are retained. Execution context (mode, model, tools) is taken at flush time. Implementation follows existing VS Code patterns (services, disposables, observables, status bar contributions) and ships incrementally.

## Goals
- Let users continue writing during long-running executions without losing input.
- Minimal, unobtrusive visibility of pending prompts (status bar first; optional widget later).
- Automatic, reliable flush with correct context (mode/model/tools) at time of send.
- Preserve accessibility, telemetry, attachment semantics.
- Adhere to VS Code architectural & layering conventions for maintainability.

## Non-Goals
- Terminal / inline chat queuing (initially).
- Editing / reordering / deletion of individual queued items.
- Provider API or chat service contract changes.
- Unlimited queue size or large binary attachment aggregation in v1.

## Key Decisions
1. Service-based: `IChatQueueService` for cross-cutting queue state.
2. Universal queuing (any mode) to avoid mode-conditional logic.
3. Aggregation: single numbered Markdown list (1., 2., ...).
4. Attachment policy: only latest message's attachments applied at flush.
5. Context capture: evaluate mode/model/tools at flush, not per message.
6. Limits: max 5 messages, 10 KB each, 50 KB total per session.

## User Experience Flow
1. User submits while request in progress → input clears → status bar shows `$(clock) n`.
2. Tooltip: localized summary; optional command to inspect (future).
3. When request finishes (or is canceled), queue auto-flushes; status clears.
4. Screen reader announcements for ""message queued"" and ""queued messages sent"".

## Architecture Overview
- Files:
  - Interface: `src/vs/workbench/contrib/chat/common/chatQueueService.ts`
  - Impl: `src/vs/workbench/contrib/chat/common/chatQueueServiceImpl.ts`
  - Registration: `chat.contribution.ts` (singleton, delayed instantiation)
  - Status Bar: `chatQueueStatus.ts`
  - Widget integration (optional phase 2): `chatContentParts/ChatQueuedMessagesWidget` (not in v1)
- Core methods: `queueMessage(sessionId, text, attachments)`, `flushQueue(sessionId)`, `clearQueue(sessionId)`, `getQueueLength(sessionId)`
- Event: `onDidChangeQueue` emits `{ sessionId, length }` with debounce for UI efficiency.

## ChatWidget Integration (v1)
- Constructor: inject `@IChatQueueService`.
- Subscribe to `onDidChangeQueue` → update tooltip / context.
- Subscribe to `chatService.requestInProgressObs` → trigger flush when false.
- `_acceptInput`: if request in progress → queue (text + attachments), clear editor, fire existing accept event, do not send.
- Helpers: `maybeFlushQueue(sessionId)`, `updateSubmitButtonTooltip(count)`.

## Flush Logic
- Trigger: first transition of global `requestInProgress` to false with non-empty queue.
- Combine queued texts -> numbered Markdown list (blank line between items, trim whitespace).
- Use only latest message attachments.
- Clear queue pre-send to avoid duplication; on failure optionally restore or notify.

## Memory & Lifecycle
- Enforce per-message and total-text limits; truncate with ellipsis.
- Remove oldest messages when exceeding limits.
- Clear queues on session disposal (`chatService.onDidDisposeSession`).
- Detach all attachment references on clear for GC friendliness.

## Accessibility
- Announce queued additions (single vs multiple).
- Announce flush completion with message count.
- Status bar entry has ARIA label reflecting current count.

## Telemetry (Tentative)
Event: `chat.queueFlush`
- `messageCount`, `totalCharacters`, `hadAttachments` (boolean)
- Classification: System metadata (performance & feature usage).

## Status Bar (Phase 1 UI)
- Entry: `$(clock) <count>` right-aligned.
- Tooltip: localized summary; if feasible, preview first N chars of first & last item.
- Disposal when count=0.

## Optional Phase 2: Sticky Widget
- Only if status bar visibility insufficient per feedback.
- Pattern reuse: `ChatTodoListWidget` height calculation + layout hooks.

## Error & Edge Handling
- Flush failure: show notification with Retry; keep queue (or rehydrate) based on severity.
- Race protection: per-session in-flight flush promise map.
- Session switch with queued messages: auto-flush or warn & discard (decision left for validation; initial approach = auto-flush to reduce surprise).
- Agent mode unavailability mid-queue: still flush as generic chat input (no agent-only assumption).

## Testing Strategy
Unit (`chatQueueService.test.ts`): queue limits, truncation, event emission, flush ordering.
Integration (`chatWidget.integrationTest.ts`): queuing during active request, flush on completion, attachments from latest only.
Performance (`chatQueueService.perf.test.ts`): rapid enqueue (100 ops), time < target threshold, memory bounds.
Accessibility: ARIA label & announcement hooks (where test infra permits); manual verification fallback.
Failure scenarios: simulated send failure → retry path.

## Risks & Mitigations
| Risk | Mitigation |
|------|-----------|
| Memory growth via long texts | Strict per-message & total limits, truncation |
| User confusion (hidden queue) | Status bar indicator + tooltip + announcements |
| Race (double flush) | Single in-flight flush promise guard |
| Mode / session churn | Flush or clear on session disposal; universal queuing logic |
| Attachment mismatch | Only latest retained; log if earlier had attachments dropped |
| Performance regression | Debounce events; small fixed queue; perf test gate |
| Localization omissions | All new strings through `nls`, placeholder usage |

## File Structure (Planned Additions / Mods)
```
src/vs/workbench/contrib/chat/
  common/
    chatQueueService.ts
    chatQueueServiceImpl.ts
  browser/
    chatQueueStatus.ts
    chatWidget.ts (modified)
    chat.contribution.ts (registration + status instantiation)
  test/
    common/chatQueueService.test.ts
    common/chatQueueService.perf.test.ts
    browser/chatWidget.integrationTest.ts
```

## Implementation Phases
Phase 1: Service + status bar + basic flush + tests.
Phase 2: Telemetry + accessibility refinements + error UX.
Phase 3: Optional sticky widget (only if justified).
Phase 4: Enhancements (preview command, cancellation, metrics adjustments).

## Architectural Decision Records
- ADR-1: Service vs local state → Service chosen for reuse & testability.
- ADR-2: Universal queuing (simpler, consistent UX) vs mode-limited.
- ADR-3: Status bar first (minimal footprint) before introducing new layout surface.
- ADR-4: Hard limits protect perf & memory at small complexity cost.

## Success Criteria
- Queue preserves user input reliably; zero data loss in tested cases.
- No regressions in existing chat flows (baseline run). 
- Flush latency negligible relative to standard request cycle.
- Accessibility announcements verified; localized strings added.
- Users can discover queued state without intrusive UI.

## Out of Scope (Future Consideration)
- Per-item editing / deletion controls.
- Per-item attachment merging.
- Cross-session queue transfer.
- Persistence of queue across reload.

---
Feedback welcome on: scope boundaries, flush timing, attachment policy, and whether auto-flushing on session switch is preferable to warning + discard.",2025-09-26 00:03:25+00:00,2025-09-26T00:13:08Z,,False,0,0,1,0,0,0,0,,68,7645,False,True,True,False,False,False,0,0,0,0,0,0,1,0,,,,vscode
268398,open,Command to create worktrees with defaults,osortega,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->

Adding a command to create worktrees with random generated branch names to avoid asking the user for the name",2025-09-25 22:55:54+00:00,2025-09-26T00:21:49Z,,False,0,6,2,85,0,2,6,,41,454,False,False,False,False,False,False,2,0,0,87,86,1,1,2,,,,vscode
268395,closed,Still use OutputMonitor when there's no chat sessionId,roblourens,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 22:29:06+00:00,2025-09-25T22:41:54Z,2025-09-25T22:41:53Z,True,0,2,3,9,9,3,2,2025-09-25 22:41:53+00:00,54,344,False,False,False,False,False,False,3,0,0,347,269,78,1,3,,,,vscode
268392,open,Add todo list rendering in chat input and update styles,bhavyaus,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 21:37:00+00:00,2025-09-26T04:02:04Z,,False,0,0,2,257,5,3,0,,55,344,False,False,False,False,False,False,3,0,0,300,276,24,1,2,,,,vscode
268377,closed,Unblock terminal tool in evals,roblourens,"@meganrogge this is separate from auto-approve issue. In our current msbench simulator environment, tools run outside of a chat session context, so I skip the OutputMonitor in that scenario since we can't ask anyone for a confirmation anyway. Lmk if you think I should do something differently.",2025-09-25 19:03:47+00:00,2025-09-25T22:41:25Z,2025-09-25T22:41:25Z,True,4,1,3,9,9,3,5,2025-09-25 22:41:25+00:00,30,294,False,False,False,False,False,False,3,4,455,347,269,78,1,3,2.0,4.0,2025-09-25T19:42:35Z,vscode
268368,closed,replace observable with callback to fix telemetry,meganrogge,"fix #268367

The accept count was multiple times > shown count, which made no sense 😅 . The observable wasn't working as expected.

<img width=""633"" height=""464"" alt=""image"" src=""https://github.com/user-attachments/assets/dc908e37-978a-48bc-b228-52ddd8f65c76"" />

cc @connor4312 ",2025-09-25 18:12:02+00:00,2025-09-25T18:33:40Z,2025-09-25T18:33:38Z,True,0,4,5,17,20,2,4,2025-09-25 18:33:38+00:00,49,279,False,True,False,False,False,False,2,0,0,71,31,40,2,5,,,,vscode
268366,closed,chat - add more sentiment state to telemetry,bpasero,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 18:05:06+00:00,2025-09-25T18:17:07Z,2025-09-25T18:17:05Z,True,0,0,1,6,0,1,0,2025-09-25 18:17:05+00:00,44,344,False,False,False,False,False,False,1,0,0,6,6,0,1,1,,,,vscode
268364,open,File icon display handling in chat sessions ,vijayupadya,"Fixes #265150

Chat session icons use `ThemeIcon` objects (like `Codicon.loading`, `Codicon.pass`, etc.) which get the `predefined-file-icon` CSS class. When file icons are globally disabled, a CSS rule in style.css hides all elements with this class, affecting chat session icons unintentionally. 
This change implements overrides in chatSessions.

",2025-09-25 17:37:27+00:00,2025-09-26T09:34:05Z,,False,4,6,6,35,1,2,10,,44,350,False,True,False,False,False,False,2,5,602,158,96,62,1,6,4.0,5.0,2025-09-25T18:03:40Z,vscode
268363,closed,polish terminal suggest handling of globs,meganrogge,follow-ups to #266073,2025-09-25 17:33:17+00:00,2025-09-25T18:06:14Z,2025-09-25T18:06:12Z,True,0,1,2,8,14,2,1,2025-09-25 18:06:12+00:00,41,21,False,False,False,False,False,False,2,0,0,22,8,14,1,2,,,,vscode
268362,closed,"add command to focus last focused chat item, include important info in a11y help",meganrogge,"fixes https://github.com/microsoft/vscode/issues/268238
fixes https://github.com/microsoft/vscode/issues/268345

https://github.com/user-attachments/assets/2887a192-9e32-4747-ba69-d0ad1787ceab

",2025-09-25 17:11:32+00:00,2025-09-25T21:24:28Z,2025-09-25T21:11:02Z,True,0,1,7,87,24,9,1,2025-09-25 21:11:02+00:00,80,194,False,True,False,False,False,False,9,0,0,143,103,40,1,7,,,,vscode
268357,closed,chore: suppress CredScan false positives for Debian builds,rzhao271,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 16:45:29+00:00,2025-09-25T16:57:22Z,2025-09-25T16:57:21Z,True,0,0,1,18,0,1,0,2025-09-25 16:57:21+00:00,58,344,False,False,False,False,False,False,1,0,0,18,18,0,1,1,,,,vscode
268352,closed,Add context key for skipping global autoapprove setting confirmation,roblourens,Intended to be used by vscode-copilot-chat for testing. cc @Tyriar when you're back we can decide whether there's a better way to do this,2025-09-25 16:38:27+00:00,2025-09-26T09:18:18Z,2025-09-25T16:51:28Z,True,1,0,1,6,0,1,1,2025-09-25 16:51:29+00:00,68,137,False,False,False,False,False,False,1,1,4,6,6,0,1,1,1.0,1.0,2025-09-26T09:18:18Z,vscode
268349,closed,Keep accessible view open when switching windows,meganrogge,"fix #268338

Allows screen reader users to not lose their current position when they use `alt+tab` to move between windows

https://github.com/user-attachments/assets/6de4a91a-33fa-4df0-9734-89e10507aa80

",2025-09-25 15:49:36+00:00,2025-09-25T16:05:05Z,2025-09-25T16:05:03Z,True,0,1,2,8,1,1,1,2025-09-25 16:05:04+00:00,48,205,False,True,False,False,False,False,1,0,0,13,10,3,1,2,,,,vscode
268336,closed,add and use setting config,meganrogge,fix #268335,2025-09-25 14:41:22+00:00,2025-09-25T15:46:38Z,2025-09-25T15:46:37Z,True,0,2,2,11,2,2,2,2025-09-25 15:46:37+00:00,26,11,False,True,False,False,False,False,2,0,0,13,11,2,1,2,,,,vscode
268321,closed,chat - ui tweaks for wording and progress,bpasero,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 13:37:40+00:00,2025-09-25T15:50:57Z,2025-09-25T15:50:56Z,True,1,0,2,2,2,2,1,2025-09-25 15:50:56+00:00,41,344,False,False,False,False,False,False,2,1,33,94,63,31,1,2,1.0,1.0,2025-09-25T13:58:53Z,vscode
268318,open,ensure valid auth tokens in releaseBuild.ts,joaomoreno,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 13:30:37+00:00,2025-09-26T06:14:08Z,,False,0,0,3,18,21,4,0,,43,344,False,False,False,False,False,False,4,0,0,47,22,25,1,3,,,,vscode
268295,closed,Engineering - use Terrapin for CI builds,lszomoru,Ensure that the CI build is using Terrapin in order to keep the node_modules cache warm for product builds.,2025-09-25 10:36:13+00:00,2025-09-25T11:04:00Z,2025-09-25T11:03:59Z,True,0,0,1,1,4,1,0,2025-09-25 11:03:59+00:00,40,107,False,False,False,False,False,False,1,0,0,5,1,4,1,1,,,,vscode
268291,closed,chat - tweaks for anonymous usage,bpasero,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 10:12:02+00:00,2025-09-25T13:49:28Z,2025-09-25T13:49:27Z,True,0,0,7,59,27,5,0,2025-09-25 13:49:27+00:00,33,344,False,False,False,False,False,False,5,0,0,92,62,30,1,7,,,,vscode
268284,open,Fix: don't apply inertial scrolling if input device is a mouse.,Benimautner,"This is a quick fix for #256269, where, if inertial scrolling is active, mouse scrolling becomes too fast.
Original pull request for inertial scrolling: #244034 

@alexdima tagging you because you seemed to have been the code owner of this last time!",2025-09-25 09:15:04+00:00,2025-09-25T10:08:44Z,,False,0,1,1,1,1,1,1,,63,250,False,True,False,False,False,False,1,0,0,2,1,1,1,1,,,,vscode
268270,closed,Engineering - update rust toolchain,lszomoru,Test pipeline - https://dev.azure.com/monacotools/Monaco/_build/results?buildId=359753&view=results,2025-09-25 07:01:22+00:00,2025-09-25T15:07:22Z,2025-09-25T15:07:21Z,True,0,0,1,2,2,2,0,2025-09-25 15:07:21+00:00,35,99,False,False,False,False,False,False,2,0,0,4,2,2,1,1,,,,vscode
268267,closed,Engineering - cleanup Windows CLI jobs,lszomoru,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 05:28:30+00:00,2025-09-25T05:50:38Z,2025-09-25T05:50:37Z,True,0,1,10,91,112,10,1,2025-09-25 05:50:37+00:00,38,344,False,False,False,False,False,False,10,0,0,269,124,145,1,10,,,,vscode
268263,open,Add explain action to DiffHunkWidget,zhichli,"[491826714-291efac9-b9b9-4743-bd57-92659d02d7cc.webm](https://github.com/user-attachments/assets/08759823-4ff9-4482-a6fb-7f13a494399d)
",2025-09-25 03:51:13+00:00,2025-09-25T06:06:16Z,,False,0,2,4,39,2,2,2,,36,135,False,False,False,False,False,False,2,0,0,47,42,5,1,4,,,,vscode
268248,open,CSS cleanup,osortega,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-25 00:02:15+00:00,2025-09-25T20:28:45Z,,False,0,15,3,21,71,2,15,,11,344,False,False,False,False,False,False,2,0,0,96,23,73,1,3,,,,vscode
268242,closed,Bump MSAL node to assist non-broker flows,TylerLeonhardt,"This includes a bug fix on the MSAL side for non-broker flows.

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-24 22:23:08+00:00,2025-09-24T23:26:18Z,2025-09-24T23:26:17Z,True,0,0,1,5,5,2,0,2025-09-24 23:26:18+00:00,41,408,False,True,False,False,False,False,2,0,0,10,5,5,1,1,,,,vscode
268237,closed,Simplify #265373,aeschli,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-24 21:00:39+00:00,2025-09-24T21:12:36Z,2025-09-24T21:12:34Z,True,0,1,1,1,6,1,1,2025-09-24 21:12:34+00:00,16,344,False,False,False,False,False,False,1,0,0,7,1,6,1,1,,,,vscode
268236,open,Support for creating new chat with metadata,osortega,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->

Related to: https://github.com/microsoft/vscode/issues/268219

This adds a new command to support creating new chats with metadata",2025-09-24 20:57:14+00:00,2025-09-24T21:08:53Z,,False,0,3,1,41,2,4,3,,43,475,False,False,False,False,False,False,4,0,0,43,41,2,1,1,,,,vscode
268235,closed,Remove reference to old extension,roblourens,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-24 20:36:14+00:00,2025-09-24T20:47:50Z,2025-09-24T20:47:49Z,True,0,0,1,0,3,1,0,2025-09-24 20:47:49+00:00,33,344,False,False,False,False,False,False,1,0,0,3,0,3,1,1,,,,vscode
268230,closed,mcp: correctly resolve cwd and variables on remotes,connor4312,"- Remove the hacky cwd resolution and do the joining in the remote EH
  when appropriate.
- Correctly resolve variables in the remote EH environment instead of local

<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests
* Associate an issue with the Pull Request.
* Ensure that the code is up-to-date with the `main` branch.
* Include a description of the proposed changes and how to test them.
-->
",2025-09-24 19:55:26+00:00,2025-09-24T20:41:39Z,2025-09-24T20:41:38Z,True,0,1,3,80,66,12,1,2025-09-24 20:41:38+00:00,51,511,False,False,False,False,False,False,12,0,0,146,80,66,1,3,,,,vscode
