pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,additions,deletions,changed_files,commits,comments,review_comments,file_types_count,directories_count,total_changes,first_review_at,time_to_close_days,response_time_days,review_count,approval_count,change_request_count,reviewer_count,test_files_count,test_changes,doc_files_count,config_files_count,title_length,description_length,has_description,label_count,milestone,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,assignees_count,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_changed,files_added,files_deleted,files_changed,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
258421,Add development progress documentation,closed,False,2025-07-29 09:01:43,2025-07-29 09:06:12,2025-09-12 23:24:43,memeda230606,0.0,108,0,5,1,0,0,2.0,2.0,108,,0.003113425925925926,,,,,1.472222222222222,0.0,,4.0,1.0,38,602,True,0.0,,1.0,,,,unknown,,0.0,False,False,False,False,True,False,2.0,,,108,0,10.0,5.0,5.0,4.0,0.0,5,108,1.0,0.0,0.0,4,80
258422,ci: log diagnostics for deemon failures on windows,closed,True,2025-07-29 09:16:20,2025-07-29 13:23:27,2025-09-12 23:24:43,deepak1556,0.0,3,0,1,1,0,0,1.0,1.0,3,,0.1716087962962963,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,1.0,50,53,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,3,0,2.0,1.0,1.0,0.0,0.0,1,3,1.0,0.0,3.0,8,2
258438,Update AI statistics descriptions for clarity.,closed,True,2025-07-29 10:26:05,2025-07-29 14:30:13,2025-09-12 23:24:43,mrleemurray,0.0,2,2,2,1,0,0,1.0,2.0,4,,0.169537037037037,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,46,177,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,2.0,,,2,2,4.0,4.0,2.0,0.0,0.0,2,4,2.0,0.0,0.0,6,27
258454,Only change the line height of the view line,open,False,2025-07-29 11:19:53,,2025-08-22 06:51:34,remcohaszing,0.0,25,19,3,1,1,0,1.0,3.0,44,2025-08-11 12:43:39,,13.0581712962963,,,,1.0,0.0,,0.0,0.0,44,484,True,0.0,,1.0,,,,unknown,,1.0,False,False,False,False,False,False,3.0,,,25,19,22.0,20.0,11.0,0.0,0.0,3,44,3.0,0.0,0.0,9,64
258463,Fix testFailure stringify,closed,True,2025-07-29 12:50:57,2025-07-29 15:45:38,2025-09-12 23:24:43,Skn0tt,0.0,1,1,1,1,0,0,1.0,1.0,2,2025-07-29 15:23:59,0.1213078703703704,0.1062731481481481,2.0,2.0,0.0,1.0,1.0,,0.0,0.0,25,505,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,3,70
258496,fix(workspace.openTextDocument): handle fragments for selection in URIs,open,False,2025-07-29 14:32:51,,2025-09-08 11:27:54,janhartman,0.0,4,2,1,2,1,0,1.0,1.0,94931,2025-08-13 12:47:19,,14.92671296296296,,,,1.0,0.0,,0.0,0.0,71,5597,True,0.0,,1.0,,,,unknown,,1.0,False,True,False,False,True,False,1.0,,,4,2,4.0,3.0,2.0,0.0,0.0,1,94931,1.0,0.0,0.0,7,477
258592,Handle non-JSON keys,closed,True,2025-07-29 18:14:23,2025-07-29 18:26:07,2025-09-12 23:24:43,TylerLeonhardt,0.0,10,10,1,1,0,0,1.0,1.0,20,,0.008148148148148147,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,20,401,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,10,10,4.0,4.0,3.0,0.0,0.0,1,20,1.0,0.0,1.0,3,51
258632,Polish terminal and task tools,closed,True,2025-07-29 19:40:04,2025-07-30 13:23:32,2025-09-13 23:24:36,Tyriar,0.0,2,6,4,1,0,0,1.0,2.0,8,,0.7385185185185185,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,30,146,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,2.0,,,2,6,6.0,8.0,4.0,0.0,0.0,4,8,4.0,0.0,9.0,5,8
258636,Fix incorrect getTerminalOutput schema,closed,True,2025-07-29 20:03:11,2025-07-29 20:15:34,2025-09-12 23:24:43,Tyriar,0.0,2,2,1,1,0,0,1.0,1.0,4,,0.008599537037037037,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,38,14,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,2,2,3.0,3.0,1.0,0.0,0.0,1,4,1.0,0.0,9.0,4,2
258650,mcp: feedback on autostart,closed,True,2025-07-29 21:09:52,2025-07-29 21:25:03,2025-09-12 23:24:43,connor4312,0.0,87,35,7,1,0,0,1.0,4.0,122,,0.01054398148148148,,1.0,1.0,0.0,1.472222222222222,2.0,,0.0,0.0,26,552,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,4.0,,,87,35,24.0,17.0,15.0,0.0,0.0,7,122,7.0,0.0,0.0,4,79
258664,Avoid registering disposables when Notebook Edit session is disposed,closed,True,2025-07-29 21:47:00,2025-08-04 02:51:02,2025-09-18 23:25:32,DonJayamanne,0.0,18,4,1,2,1,0,1.0,1.0,2394,2025-07-31 17:15:33,5.211134259259259,1.811493055555556,1.0,1.0,0.0,1.0,0.0,,0.0,0.0,68,538,True,0.0,August 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,18,4,3.0,3.0,2.0,0.0,0.0,1,2394,1.0,0.0,2.0,9,76
258696,allow delete worktrees if worktrees are closed,closed,True,2025-07-29 23:01:23,2025-07-29 23:21:38,2025-09-12 23:24:43,nguyenchristy,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.0140625,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,1.0,46,424,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,7,51
258700,Change agent mode token enablement flag,closed,True,2025-07-29 23:14:19,2025-07-29 23:26:15,2025-09-13 23:24:36,roblourens,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.008287037037037037,,2.0,2.0,0.0,1.472222222222222,0.0,,0.0,0.0,39,438,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,True,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,6,50
258701,chat list options for coding agent and other modes,closed,True,2025-07-29 23:14:36,2025-07-29 23:26:25,2025-09-13 23:24:36,justschen,0.0,19,8,3,1,1,0,1.0,1.0,27,,0.008206018518518519,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,50,370,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,19,8,14.0,11.0,11.0,0.0,0.0,3,27,3.0,0.0,3.0,9,52
258706,lockToCodingAgent earlier,closed,True,2025-07-29 23:53:13,2025-07-30 16:13:07,2025-09-13 23:24:36,joshspicer,0.0,21,45,4,3,0,0,1.0,2.0,534,,0.6804861111111111,,2.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,25,434,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,2.0,,,21,45,11.0,15.0,8.0,0.0,0.0,4,534,4.0,0.0,0.0,2,63
258709,fix default path bug related to branch prefix,closed,True,2025-07-30 00:09:59,2025-07-30 15:02:35,2025-09-13 23:24:36,nguyenchristy,0.0,3,4,1,5,0,1,1.0,1.0,23,,0.6198611111111111,,2.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,45,587,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,3,4,2.0,2.0,1.0,0.0,0.0,1,23,1.0,0.0,0.0,8,80
258711,checkpoint polish 💅🏻 ,closed,True,2025-07-30 00:22:47,2025-07-30 00:34:28,2025-09-13 23:24:36,justschen,0.0,20,10,4,1,1,0,2.0,4.0,30,,0.008113425925925927,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,21,669,True,0.0,July 2025,1.0,,,,unknown,,1.0,False,True,False,False,False,False,4.0,,,20,10,10.0,10.0,5.0,0.0,0.0,4,30,4.0,0.0,3.0,3,67
258713,mcp: make autostart opt in for this release,closed,True,2025-07-30 00:44:17,2025-07-30 00:55:48,2025-09-13 23:24:36,connor4312,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.007997685185185186,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,43,387,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,8,57
258740,Fix markdown string for tool call invocation from chat sessions,closed,True,2025-07-30 04:08:17,2025-07-30 04:19:59,2025-09-13 23:24:36,rebornix,0.0,3,3,1,1,0,0,1.0,1.0,6,,0.008125,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,63,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,3,3,2.0,2.0,1.0,0.0,0.0,1,6,1.0,0.0,1.0,10,49
258741,fix: remove unused appx package,closed,True,2025-07-30 04:59:20,2025-07-30 12:13:28,2025-09-13 23:24:36,deepak1556,0.0,20,5,2,3,0,0,2.0,2.0,25,,0.3014814814814815,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,31,55,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,2.0,,,20,5,10.0,7.0,5.0,0.0,0.0,2,25,2.0,0.0,3.0,5,2
258744,fix terminal tool specific data from chat sessions.,closed,True,2025-07-30 05:24:38,2025-07-30 05:44:07,2025-09-13 23:24:36,rebornix,0.0,1,1,1,1,0,0,1.0,1.0,2,,0.01353009259259259,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,51,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,1.0,8,49
258747,Dispose chat session on editor close.,closed,True,2025-07-30 06:05:50,2025-07-30 06:25:29,2025-09-13 23:24:36,rebornix,0.0,17,4,3,1,0,0,1.0,3.0,21,,0.01364583333333333,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,37,344,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,False,False,False,False,False,3.0,,,17,4,12.0,6.0,6.0,0.0,0.0,3,21,3.0,0.0,1.0,6,49
258771,Git - fix git.stageFile and git.unstageFile commands so that they work when invoked using a keybinding,closed,True,2025-07-30 09:49:31,2025-07-30 10:28:46,2025-09-13 23:24:35,lszomoru,0.0,4,0,1,1,0,0,1.0,1.0,4,,0.02725694444444444,,1.0,1.0,0.0,1.472222222222222,0.0,,0.0,0.0,102,55,True,0.0,July 2025,0.0,,,,unknown,,1.0,False,True,False,False,False,False,1.0,,,4,0,3.0,1.0,2.0,0.0,0.0,1,4,1.0,0.0,0.0,16,2
