number,state,title,author,body,created_at,updated_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files,conversation,closed_at,title_length,body_length,has_test,has_bug,has_feature,has_document,has_improve,has_refactor,files_updated,comment_num,comment_length,total_changes,total_additions_commit,total_deletions_commit,commit_authors_count,commit_count,unique_reviewers,total_comments,first_comment_time,project
10026,closed,fix documentation,nkovacs,,2015-10-27 10:52:52+00:00,2015-10-27T13:48:31Z,2015-10-27T13:48:24Z,True,1,0,1,1,1,1,1,2015-10-27 13:48:24+00:00,17.0,0,False,False,False,True,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-10-27T13:48:27Z,yii2
10027,closed,typo fixed [ci skip],softark,,2015-10-27 13:04:30+00:00,2015-10-28T09:19:31Z,2015-10-27T13:25:09Z,True,1,0,1,1,1,1,1,2015-10-27 13:25:09+00:00,20.0,0,False,False,False,False,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-10-27T13:25:17Z,yii2
10031,closed,Added option to register asset with scheme,nikashitsa,"This Pull Request solves #9803.
Covered by AssetBundleTest `tests\framework\web\AssetBundleTest::testRegister`.
Looking forward for feedback  :eyes: 
",2015-10-27 20:22:21+00:00,2015-10-29T09:39:18Z,,False,7,12,1,51,3,4,19,2015-10-28 11:09:21+00:00,42.0,150,True,False,False,False,False,False,4,7,1044,54.0,51.0,3.0,1.0,1.0,3.0,7.0,2015-10-28T05:08:53Z,yii2
10032,closed,Passing altering flag to ColumnSchemaBuilder,SilverFire,"Should fix #9903 

As I mentioned in my [comment](https://github.com/yiisoft/yii2/issues/9903#issuecomment-147697143), I found the only way to fix the problem.

I added optional altering flag as an additional argument in chain of calls `QueryBuilder::alterColumn() -> QueryBuilder::getColumnType($type, $alter) -> ColumnSchemaBuilder::__toString($alter) -> ColumnSchemaBuilder::buildSomeString($alter).`

The PR will probably break 3rd part Yii2 AR DBMS extensions because of additional arguments in `ColumnSchemaBuilder` methods.

:eyes: need review for better ideas
:no_entry_sign: not ready to be merged!
:broken_heart: may break BC
:memo: No specific tests
",2015-10-27 22:16:05+00:00,2019-04-23T21:34:52Z,,False,3,0,4,74,24,7,3,2019-04-23 21:34:52+00:00,44.0,661,True,False,False,False,False,False,77,3,114,3504.0,3019.0,485.0,1.0,4.0,1.0,3.0,2015-10-27T23:57:34Z,yii2
10035,closed,Update Russian translation,p0vidl0,,2015-10-28 06:39:56+00:00,2015-10-28T07:09:08Z,2015-10-28T07:09:00Z,True,1,0,1,68,137,1,1,2015-10-28 07:09:00+00:00,26.0,0,False,False,False,False,False,False,1,1,9,205.0,68.0,137.0,1.0,1.0,1.0,1.0,2015-10-28T07:09:04Z,yii2
10037,closed,docs guide-ja updated [ci skip],softark,,2015-10-28 10:53:32+00:00,2015-10-28T11:59:08Z,2015-10-28T10:56:00Z,True,1,0,2,117,14,8,1,2015-10-28 10:56:00+00:00,31.0,0,False,False,False,False,False,False,9,1,9,135.0,119.0,16.0,1.0,2.0,1.0,1.0,2015-10-28T10:56:04Z,yii2
10038,closed,Create Russian translation for input-tabular-input.md,p0vidl0,,2015-10-28 11:38:03+00:00,2015-10-28T11:56:39Z,2015-10-28T11:56:34Z,True,1,0,1,101,0,1,1,2015-10-28 11:56:34+00:00,53.0,0,False,False,False,False,False,False,0,1,9,101.0,101.0,0.0,1.0,1.0,1.0,1.0,2015-10-28T11:56:36Z,yii2
10039,closed,Update Russian translation,p0vidl0,,2015-10-28 11:39:04+00:00,2015-10-28T11:56:23Z,2015-10-28T11:56:16Z,True,1,0,1,38,9,1,1,2015-10-28 11:56:16+00:00,26.0,0,False,False,False,False,False,False,1,1,9,47.0,38.0,9.0,1.0,1.0,1.0,1.0,2015-10-28T11:56:18Z,yii2
10040,closed,Update Russian translation,p0vidl0,,2015-10-28 11:39:33+00:00,2015-10-28T11:55:53Z,2015-10-28T11:55:43Z,True,1,0,1,7,5,1,1,2015-10-28 11:55:43+00:00,26.0,0,False,False,False,False,False,False,1,1,9,12.0,7.0,5.0,1.0,1.0,1.0,1.0,2015-10-28T11:55:44Z,yii2
10041,closed,Update Russian translation,p0vidl0,,2015-10-28 11:40:01+00:00,2015-10-28T11:55:26Z,2015-10-28T11:55:16Z,True,1,0,1,1,1,1,1,2015-10-28 11:55:16+00:00,26.0,0,False,False,False,False,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-10-28T11:55:21Z,yii2
10044,closed,Document console commands in Modules [ci skip],machour,,2015-10-28 15:17:33+00:00,2015-10-28T23:26:39Z,2015-10-28T20:01:28Z,True,3,0,1,25,0,1,3,2015-10-28 20:01:28+00:00,46.0,0,False,False,False,False,False,False,1,3,237,25.0,25.0,0.0,1.0,1.0,3.0,3.0,2015-10-28T20:01:31Z,yii2
10045,closed,Added profiling duration to log formatted message,nikashitsa,"This Pull Request solves #9458.
P.S. I hope my Japanese translation is correct :)
",2015-10-28 20:11:05+00:00,2018-02-11T10:03:06Z,,False,5,1,1,58,8,9,6,2018-02-11 10:03:06+00:00,49.0,82,False,False,False,False,False,False,9,5,987,66.0,58.0,8.0,1.0,1.0,4.0,5.0,2015-10-28T21:28:42Z,yii2
10048,closed,"IpValidator default error messages moved to init(), PHPDoc updates",SilverFire,,2015-10-29 10:06:05+00:00,2015-10-29T10:08:57Z,2015-10-29T10:08:17Z,True,1,0,1,53,9,1,1,2015-10-29 10:08:17+00:00,66.0,0,False,False,False,False,False,False,1,1,9,62.0,53.0,9.0,1.0,1.0,1.0,1.0,2015-10-29T10:08:19Z,yii2
10049,closed,Updated french translation [ci skip],machour,"Related to #10048
[ci skip]
",2015-10-29 10:22:20+00:00,2015-11-16T12:56:25Z,2015-10-29T10:33:06Z,True,1,0,1,13,10,1,1,2015-10-29 10:33:06+00:00,36.0,28,False,False,False,False,False,False,1,1,9,23.0,13.0,10.0,1.0,1.0,1.0,1.0,2015-10-29T10:33:11Z,yii2
10052,closed,Update Formatter.php,necrox87,"string type are cast to integer and have rapresentation of 2147483647, using float type instead for represent larger numbers
",2015-10-29 14:54:12+00:00,2016-02-12T11:45:20Z,2016-01-18T22:42:24Z,True,5,3,2,3,3,1,8,2016-01-18 22:42:25+00:00,20.0,125,False,False,False,False,False,False,2,5,484,6.0,3.0,3.0,1.0,2.0,2.0,5.0,2015-11-18T20:44:27Z,yii2
10054,closed,Fixed Memcache duration which exceeds 30 days,nikashitsa,"This Pull Request solves #9707 and fixes my previous Enh in CHANGELOG :angel: 
",2015-10-29 18:11:58+00:00,2015-10-29T21:19:14Z,2015-10-29T21:19:12Z,True,1,0,1,21,1,2,1,2015-10-29 21:19:12+00:00,45.0,79,False,False,False,False,False,False,2,1,9,22.0,21.0,1.0,1.0,1.0,1.0,1.0,2015-10-29T21:19:14Z,yii2
10056,closed,Allow all callables instead of only Closures in ActionColumn,freezy-sk,"Allow all callables instead of only Closures when defining custom urlCreator in ActionColumn
",2015-10-29 22:18:43+00:00,2015-10-30T19:38:32Z,,False,1,0,1,1,1,1,1,2015-10-30 19:37:45+00:00,60.0,93,False,False,False,False,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-10-30T19:38:32Z,yii2
10058,closed,Fix #9133: optimitic lock doesn't work when using load(),EvgenyOrekhov,"Optimitic lock didn't work when the lock field was missing
in the input data passed to load()
",2015-10-30 12:37:38+00:00,2015-11-01T20:09:51Z,,False,1,4,1,46,2,4,5,2015-11-01 11:43:25+00:00,56.0,94,True,False,False,False,False,False,4,1,126,48.0,46.0,2.0,1.0,1.0,1.0,1.0,2015-10-31T19:58:23Z,yii2
10059,closed,docs/guide-ja/structure-modules.md updated [ci skip],softark,,2015-10-30 13:27:12+00:00,2015-10-30T13:36:59Z,2015-10-30T13:27:52Z,True,1,0,1,27,1,2,1,2015-10-30 13:27:52+00:00,52.0,0,False,False,False,False,False,False,2,1,9,28.0,27.0,1.0,1.0,1.0,1.0,1.0,2015-10-30T13:27:54Z,yii2
1006,closed,Support PostgreSQL in QueryBuilder,chelishchev,"Just simple support PostgreSQL in QueryBuilder
",2013-10-17 19:58:45+00:00,2013-10-17T20:06:40Z,2013-10-17T20:00:54Z,True,2,0,1,39,0,1,2,2013-10-17 20:00:54+00:00,34.0,47,False,False,False,False,False,False,1,2,317,39.0,39.0,0.0,1.0,1.0,2.0,2.0,2013-10-17T20:01:00Z,yii2
10064,closed,"Fixed `yii\web\UrlRule` to allow route parameter names with `-`, `_`, `.` characters",SilverFire,"Closes #9999 

Here is a request parsing speed test:

``` php
public function actionTestRequestParsing($page, $perPage = 10)
    {
        $rules = Yii::$app->urlManager->rules;
        $ourRule = end($rules);
        /** @var $ourRule UrlRule */
        $start = microtime(true);
        for ($i = 0; $i < 100000; $i++) {
            $result = $ourRule->parseRequest(Yii::$app->urlManager, Yii::$app->request);
        }
        var_dump(microtime(true) - $start);
        Yii::$app->end();
    }
```

Before the changes:

```
float 20.849071979523
float 20.746463060379
float 21.266311975231
float 20.927006959915
float 20.962346076965
```

After the changes

```
float 20.900200843811
float 20.930371300121
float 20.941501855851
float 20.981164710019
float 21.411365032196
```

Fully ready to be merged after a code review.
",2015-10-31 07:43:17+00:00,2015-10-31T11:15:33Z,2015-10-31T11:15:13Z,True,1,0,1,58,9,2,1,2015-10-31 11:15:13+00:00,84.0,827,False,False,False,False,False,False,2,1,21,67.0,58.0,9.0,1.0,1.0,1.0,1.0,2015-10-31T11:15:33Z,yii2
10065,closed,Update AssetManager.php,nikitindv,"Add ability to define and override all assetsBundle options without necessarily enumeration of all used vendor bundles.
",2015-10-31 11:37:51+00:00,2016-11-27T01:00:56Z,,False,21,3,3,6,0,1,24,2016-11-27 01:00:56+00:00,23.0,120,False,False,False,False,False,False,3,21,3371,8.0,7.0,1.0,1.0,3.0,6.0,21.0,2015-10-31T11:44:42Z,yii2
10068,closed,Bug #9999: added PHPUnit test case to `UrlRuleTest`,SilverFire,"In addition to PR #10064
",2015-11-01 12:47:08+00:00,2015-11-05T18:27:08Z,2015-11-01T13:43:00Z,True,1,0,1,48,0,1,1,2015-11-01 13:43:00+00:00,51.0,25,True,False,False,False,False,False,1,1,9,48.0,48.0,0.0,1.0,1.0,1.0,1.0,2015-11-01T13:43:05Z,yii2
10070,closed,Added DB2 database driver,nikashitsa,"This Pull Request solves #5.
Tested on Ubuntu 14.04 x64 ""DB2 v10.5.0.5"", ""s141128"", ""IP23633"", and Fix Pack ""5""
PHP 5.5.9, PDO_IBM-1.3.3
Tests: 212, Assertions: 1366, Errors: 1, Failures: 1, Skipped: 2.

pdo_ibm is buggy, e.g. using PDO::PARAM_NULL throws error.
It would be nice, if someone update pdo_ibm.

test config

```
$config['databases']['ibm'] = [
    'dsn' => 'ibm:yiitest',
    'username' => 'vagrant',
    'password' => 'vagrant',
    'fixture' => __DIR__ . '/ibm.sql',
];
```

Remaning issues:
- testExplicitPkOnAutoIncrement failed. In db2 it seems to be a problem.
- problems with blob (empty result string) and clob (segmentation fault error). I wrote test for that testClobBlobValues
- Need to implement checkIntegrity. Solution from https://github.com/vbsessa/yii2-db2 doesn't work in my DB2 version.

I can send DB2 and pdo_ibm installation guide below, because it's tricky.
Now we have some beginning :)
",2015-11-01 21:47:11+00:00,2015-11-19T14:12:50Z,,False,4,0,1,1515,2,18,4,2015-11-19 14:12:50+00:00,25.0,925,True,False,False,False,False,False,8,4,964,1517.0,1515.0,2.0,1.0,1.0,4.0,4.0,2015-11-01T22:18:51Z,yii2
10079,closed,Update Finnish translation,janisto,,2015-11-03 12:41:54+00:00,2015-11-03T12:44:31Z,2015-11-03T12:44:25Z,True,0,0,1,13,0,1,0,2015-11-03 12:44:25+00:00,26.0,0,False,False,False,False,False,False,1,0,0,13.0,13.0,0.0,1.0,1.0,,,,yii2
1008,closed,Convert configuration to short syntax,sensorario,,2013-10-18 05:26:07+00:00,2013-10-18T08:34:58Z,2013-10-18T08:34:53Z,True,2,0,9,42,42,4,2,2013-10-18 08:34:53+00:00,37.0,0,True,False,False,False,False,False,208,2,285,123706.0,100189.0,23517.0,2.0,9.0,2.0,2.0,2013-10-18T05:30:22Z,yii2
10081,closed,Fixed issue #11076: TimestampBehavior trying to insert invalid default values,c-schmitz,"Uses now as default the DB ANSI compliant method for current datetime stamp which is compatible across DB types.
",2015-11-03 16:29:52+00:00,2015-11-03T22:21:53Z,,False,2,0,1,2,1,2,2,2015-11-03 22:21:07+00:00,77.0,113,False,False,False,False,False,False,2,2,176,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2015-11-03T16:31:11Z,yii2
10083,closed,Wrapper for PHP webserver,samdark,"In order to try it checkout basic app template and run `./yii serve` in the app root.

Here's a help:

```
$ ./yii help serve

DESCRIPTION

Runs PHP built-in web server


USAGE

yii serve [address] [...options...]

- address: string (defaults to 'localhost')
  address to serve on


OPTIONS

--appconfig: string
  custom application configuration file path.
  If not set, default application configuration is used.

--color: boolean, 0 or 1
  whether to enable ANSI color in the output.
  If not set, ANSI color will only be enabled for terminals that support it.

--docroot: string (defaults to 'web')
  path to directory to serve

--interactive: boolean, 0 or 1 (defaults to 1)
  whether to run the command interactively.

--port: int (defaults to 8080)
  port to serve on. Either ""host"" or ""host:port"".

--router: string
  path to router script.
  See https://secure.php.net/manual/en/features.commandline.webserver.php
```
",2015-11-03 23:01:07+00:00,2015-11-09T13:33:46Z,,False,2,24,2,142,0,2,26,2015-11-05 19:09:21+00:00,25.0,927,False,False,False,False,False,False,2,2,299,144.0,143.0,1.0,1.0,2.0,2.0,2.0,2015-11-04T07:32:12Z,yii2
10087,closed,Allow set params from actions,arturf,"use case

``` php
class UsersViewAction extends \yii\rest\ViewAction
{
    /**
     * @inheritdoc
     */
    public function run($id = null, $expand = 'profile')
    {
        if (is_null($id)) {
            $id = \Yii::$app->user->id;
        }

        return parent::run($id);
    }
}
```

and we have clean url like this `/api/v1/user/`
",2015-11-04 12:52:15+00:00,2016-11-27T00:58:49Z,,False,3,0,1,5,2,1,3,2016-11-27 00:58:49+00:00,29.0,342,False,False,False,False,False,False,1,3,611,7.0,5.0,2.0,1.0,1.0,2.0,3.0,2015-11-06T21:38:57Z,yii2
10091,closed,Fix arabic language,hableel,"One of the translations has a wrong variable.
variable ""compareValue"" is written instead of  ""max""
",2015-11-04 20:02:20+00:00,2015-11-04T20:20:47Z,2015-11-04T20:19:06Z,True,1,0,1,1,1,1,1,2015-11-04 20:19:06+00:00,19.0,99,False,False,False,False,False,False,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2015-11-04T20:19:10Z,yii2
10093,closed,BaseInflector::transliterate() is now public. Introduced different levels of transliteration strictness,SilverFire,"Closes #10061 
- [x] Code
- [x] Tests
- [x] Changelog
- [x] Docs
- [x] Code review

:exclamation: Changes:
- Default `$transliterator` changed from `Any-Latin; NFKD` to `Any-Latin; Latin-ASCII; [\u0080-\uffff] remove`, so the slug will be generated more correctly. Leaded to changing a test-case on old line 180
",2015-11-04 22:07:14+00:00,2015-11-06T19:31:07Z,2015-11-05T14:12:52Z,True,4,8,1,180,12,4,12,2015-11-05 14:12:52+00:00,103.0,312,True,False,False,False,False,False,4,4,139,192.0,180.0,12.0,1.0,1.0,2.0,4.0,2015-11-05T13:58:15Z,yii2
10094,closed,docs/guide-ja updated [ci skip],softark,,2015-11-04 23:04:54+00:00,2015-11-05T14:44:57Z,2015-11-05T10:27:56Z,True,1,0,1,49,49,2,1,2015-11-05 10:27:56+00:00,31.0,0,False,False,False,False,False,False,2,1,9,98.0,49.0,49.0,1.0,1.0,1.0,1.0,2015-11-05T10:28:01Z,yii2
10095,closed,Use the ActiveQuery syntax for examples in doc,Faryshta,,2015-11-05 00:52:45+00:00,2016-04-06T10:27:24Z,,False,9,0,1,7,5,1,9,2015-11-05 18:37:36+00:00,46.0,0,False,False,False,False,False,False,1,9,654,12.0,7.0,5.0,1.0,1.0,3.0,9.0,2015-11-05T09:17:30Z,yii2
10096,closed,Examples for extra field values from internal data,Faryshta,,2015-11-05 01:08:46+00:00,2015-11-26T07:56:05Z,,False,10,6,3,81,0,1,16,2015-11-05 18:36:28+00:00,50.0,0,False,False,False,False,False,False,3,10,788,89.0,85.0,4.0,1.0,3.0,4.0,10.0,2015-11-05T18:35:27Z,yii2
10098,closed,Changed yii.confirm context bind,lichunqiang,"Related #10097
",2015-11-05 04:17:07+00:00,2015-11-17T09:38:47Z,,False,8,16,3,4,2,3,24,2015-11-17 09:38:41+00:00,32.0,15,True,False,False,False,False,False,61,8,911,1395.0,1214.0,181.0,1.0,3.0,3.0,8.0,2015-11-05T09:06:22Z,yii2
101,closed,Fix unsupported flag in php 5.3.x environment [ArrayHelper::multisort],toopay,"The use of `SORT_NATURAL` flag, causing the [same trouble](https://travis-ci.org/toopay/yii2/jobs/6890963#L37) we have in #7 and #93. Since we're already add case-insensitive flag internally within the method, i think its save to remove completely any php 5.4-only constants.
",2013-05-05 02:57:56+00:00,2013-05-05T06:30:27Z,2013-05-05T03:14:37Z,True,3,0,2,4,4,1,3,2013-05-05 03:14:37+00:00,70.0,276,False,False,False,False,False,False,2,3,272,8.0,4.0,4.0,1.0,2.0,2.0,3.0,2013-05-05T03:00:37Z,yii2
1010,closed,Convert to short syntax (array),KingYes,,2013-10-18 06:51:22+00:00,2014-06-18T11:59:59Z,2013-10-18T08:37:46Z,True,4,0,1,48,48,4,4,2013-10-18 08:37:46+00:00,31.0,0,False,False,False,False,False,False,4,4,452,96.0,48.0,48.0,1.0,1.0,3.0,4.0,2013-10-18T06:56:55Z,yii2
10102,closed,Added method call `saveAssignments` to `\yii\rbac\PhpManager::removeItem`,rezident,"…tem`
",2015-11-05 12:35:24+00:00,2015-11-06T08:12:00Z,,False,3,1,6,12,8,4,4,2015-11-06 08:12:00+00:00,73.0,6,True,False,False,False,False,False,7,3,272,38.0,22.0,16.0,2.0,5.0,2.0,3.0,2015-11-05T16:40:52Z,yii2
10104,closed,IpValidator PHPDoc update: removed links to private methods [ci skip],SilverFire,"Ready to be merged
",2015-11-05 18:31:45+00:00,2015-11-06T08:36:08Z,2015-11-05T18:38:28Z,True,1,0,1,3,2,1,1,2015-11-05 18:38:28+00:00,69.0,19,False,False,False,False,False,False,1,1,9,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2015-11-05T18:38:34Z,yii2
10105,closed,Update db-active-record.md,githubjeka,"PSR-2 4.1: 
""Property names SHOULD NOT be prefixed with a single underscore to indicate protected or private visibility.""
",2015-11-05 19:19:06+00:00,2015-11-06T07:21:46Z,2015-11-05T19:22:40Z,True,9,0,1,8,8,1,9,2015-11-05 19:22:40+00:00,26.0,122,False,False,False,False,False,False,1,9,1577,16.0,8.0,8.0,1.0,1.0,4.0,9.0,2015-11-05T19:22:43Z,yii2
10106,closed,Migration update,dkulyk,"Fix quote default value(use scheme);
Add unsigned contains in ColumnSchemaBuilder(type control by scheme);
",2015-11-05 21:59:18+00:00,2015-12-05T19:28:34Z,,False,1,3,1,45,4,3,4,2015-12-05 19:28:34+00:00,16.0,107,False,False,False,False,False,False,3,1,49,49.0,45.0,4.0,1.0,1.0,1.0,1.0,2015-12-05T19:28:34Z,yii2
10109,closed,Fix assignments saving on role removing,rezident,"Fix #10101
",2015-11-06 08:11:23+00:00,2015-11-06T16:55:28Z,,False,5,1,2,5,0,3,6,2015-11-06 16:55:28+00:00,39.0,11,True,False,False,False,False,False,4,5,573,7.0,6.0,1.0,1.0,2.0,3.0,5.0,2015-11-06T08:53:52Z,yii2
1011,closed,Proposal for #31,klimov-paul,"Here is my proposal for #31: email component

Here I have created an abstraction layer for the email mailer and message.
I have created ‘Vendor*’ classes, which should help to created wrappers over existing email libraries.
By default solution uses SwiftMailer, but you should be able to switch it to any other library such as Zend/Email without much effots.

This solution of course need some adjustments, feel free to propose ones.
",2013-10-18 08:58:13+00:00,2014-06-12T17:17:41Z,,False,11,10,13,1021,1,13,21,2013-10-23 14:15:08+00:00,16.0,434,True,False,False,False,False,False,330,11,7301,14419.0,7543.0,6876.0,1.0,13.0,4.0,11.0,2013-10-18T09:03:38Z,yii2
10110,closed,Add validation for attributes that are untouched,bluezed,"Proposed fix for #9535
",2015-11-06 10:31:14+00:00,2015-11-11T08:59:35Z,,False,3,0,1,3,3,1,3,2015-11-06 16:57:42+00:00,48.0,23,False,False,False,False,False,False,1,3,1028,6.0,3.0,3.0,1.0,1.0,2.0,3.0,2015-11-06T12:29:43Z,yii2
10112,closed,Components concept and REST routing PL,bizley,,2015-11-06 19:24:14+00:00,2015-11-06T19:39:06Z,2015-11-06T19:38:58Z,True,1,0,2,185,2,3,1,2015-11-06 19:38:58+00:00,38.0,0,True,False,False,False,False,False,92,1,9,4801.0,4075.0,726.0,1.0,2.0,1.0,1.0,2015-11-06T19:39:01Z,yii2
10113,closed,#10108 add support for events in interfaces,omnilight,"Adds support for events in interfaces #10108 
",2015-11-06 19:42:09+00:00,2015-12-27T21:08:38Z,,False,28,5,8,115,7,4,33,2015-12-27 21:08:30+00:00,43.0,46,True,False,False,False,False,False,110,28,5732,3327.0,2771.0,556.0,1.0,8.0,5.0,28.0,2015-11-06T20:04:02Z,yii2
10117,closed,Add parentItemOptions,strelov1,"Often it is necessary to extend the class for this property
",2015-11-07 10:32:15+00:00,2015-11-07T20:32:55Z,,False,4,0,1,13,0,1,4,2015-11-07 19:53:38+00:00,21.0,60,False,False,False,False,False,False,1,4,1254,13.0,13.0,0.0,1.0,1.0,2.0,4.0,2015-11-07T11:02:05Z,yii2
10119,closed,"numerous refactors for SluggabeBehavior class, fixes #10118",hesna,"it was made to fix #10118 but @cebe was way faster :+1: 
it still applies some refactors which I find useful.
",2015-11-07 16:35:58+00:00,2016-01-23T09:02:27Z,,False,5,1,2,58,36,1,6,2016-01-23 08:45:13+00:00,59.0,110,False,False,False,False,False,False,2,5,1248,118.0,70.0,48.0,1.0,2.0,3.0,5.0,2015-11-15T13:26:54Z,yii2
1012,closed, 	Convert to short syntax [2].,KingYes,,2013-10-18 09:04:06+00:00,2013-10-18T09:18:56Z,2013-10-18T09:08:15Z,True,3,0,2,348,348,47,3,2013-10-18 09:08:15+00:00,30.0,0,True,False,False,False,False,False,51,3,410,780.0,390.0,390.0,1.0,2.0,3.0,3.0,2013-10-18T09:08:43Z,yii2
