number,state,title,author,body,created_at,updated_at,merged_at,merged,comments,review_comments,commits,additions,deletions,changed_files,conversation,closed_at,title_length,body_length,has_test,has_bug,has_feature,has_document,has_improve,has_refactor,files_updated,comment_num,comment_length,total_changes,total_additions_commit,total_deletions_commit,commit_authors_count,commit_count,unique_reviewers,total_comments,first_comment_time,project
163840,closed,Test redistriubtion,SherlockNoMad,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #163840



cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @pragupta @ezyang @msaroufim @dcci",2025-09-25 04:35:33+00:00,2025-09-25T04:36:14Z,,False,1,0,1,175,4,1,1,2025-09-25 04:36:14+00:00,19,197,False,False,False,False,False,False,1,0,0,179,175,4,1,1,,,,pytorch
163839,open,[fr] Skip the dtype check for some one to all or all to one collective,fduwjj,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #163839

As title, in practice we found that sometimes, the dtype of gather does not match when it comes to output among all ranks, which is a undefined behavior. Same with broadcast and scatter. And they are all completed, so we should not think they are errors, we can skip it.


cc @H-Huang @awgu @wanchaol @fegin @wz337 @wconstab @d4l3k @pragupta @ezyang @msaroufim @dcci",2025-09-25 04:34:39+00:00,2025-09-25T07:49:38Z,,False,1,0,2,38,17,2,1,,70,460,False,False,False,False,False,False,2,0,31,57,39,18,1,2,1.0,1.0,2025-09-25T07:49:38Z,pytorch
163838,open,[OpenReg] unify event semantic with device index,wschin,"Fixes #163836.
",2025-09-25 04:24:59+00:00,2025-09-25T06:39:41Z,,False,2,0,1,2,2,1,2,,48,15,False,True,False,False,False,False,1,0,0,4,2,2,1,1,,,,pytorch
163837,open,[a2av] Separate in/out splits into two tensors,kwen2501,"Stack from [ghstack](https://github.com/ezyang/ghstack/tree/0.12.0) (oldest at bottom):
* #163815
* #163814
* __->__ #163837

Old signature:
`all_to_all_vdev(Tensor input, Tensor(a!) out, Tensor(a!) in_out_splits, str group_name)`
New signature:
`all_to_all_vdev(Tensor input, Tensor(a!) out, Tensor in_splits, Tensor(a!) out_splits_offsets, str group_name)`

i.e. split `in_out_splits` into IN tensor and OUT tensor so that we can define the TORCH_LIBRARY signature better.
Also to be in line with the 2D version.",2025-09-25 04:21:20+00:00,2025-09-25T06:50:11Z,,False,1,0,1,34,26,4,1,,46,514,False,False,False,False,False,False,4,0,0,60,34,26,1,1,,,,pytorch
163835,open,Expose torch.nn.utils.parametrize,hanchchch,"`torch.nn.utils.parametrize` is not imported from `torch/nn/utils/__init__.py`, thus is not exposed and make it hard for code editors to statically analyze the code and provide auto-completion based on the function signature.

<img width=""615"" height=""292"" alt=""Screenshot 2025-09-25 at 12 01 52 PM"" src=""https://github.com/user-attachments/assets/a276f6f0-87f3-4732-943d-2a92ea871974"" />


after the fix:

<img width=""964"" height=""393"" alt=""Screenshot 2025-09-25 at 12 02 16 PM"" src=""https://github.com/user-attachments/assets/ca47f09e-dc4e-4420-a2d2-11669e07471a"" />
",2025-09-25 03:08:03+00:00,2025-09-25T14:47:44Z,,False,5,0,2,2,1,1,5,,33,569,False,True,False,False,False,False,1,4,1085,5,3,2,1,2,3.0,5.0,2025-09-25T03:09:05Z,pytorch
163832,open,Add scaffolding for StableIValue FC/BC,mikaylagawarecki,"Part 2 of plan in https://docs.google.com/document/d/1MaX51H5aEQE5XnOlnZIpf9oCYwzGrTWkgBACxNzsmWE/edit?usp=sharing

- Upgrades `aoti_torch_library_impl_init` to v2 with an `extension_abi_version` kwarg, which should always bake in TORCH_FEATURE_VERSION as the extension_abi_version when a user uses `STABLE_TORCH_LIBRARY_IMPL`
- Plumbs `extension_abi_version` to 
        - `from_ivalue`
        - `to_ivalue`
        - `From`
        - `To`
        - Decoupled `from_internal` and `to_internal` (used by `from_ivalue` and `to_ivalue` from `from` and `to` (used by boxed kernel for extension)
- (likely won't land) Proof of concept to show how we will handle FC/BC for StableIValue in the case that one of our structs in headeronly/stable changes
        - Created a `Dummy` type in torch/headeronly
        - simulated an ABI breaking change to it (keeping the old version around in a separate namespace)
        - TORCH_FEATURE_VERSION to toggle between which namespace gets inlined
        - Shows how FromImpl/ToImpl should be updated (preprocessor macros based on TORCH_FEATURE_VERSION + runtime dispatch based on extension_abi_version for FC/BC)
     

Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #163832
* #163683



cc @EikanWang @jgong5 @wenzhe-nrv @sanchitintel",2025-09-25 01:39:21+00:00,2025-09-25T03:14:29Z,,False,2,0,2,602,65,20,2,,38,1312,False,False,True,True,False,False,20,0,0,667,602,65,1,2,,,,pytorch
163831,open,"use sym_numel, to allow fake tensors to work",vinayp17,"Fixes #[163759](https://github.com/pytorch/pytorch/issues/163759)

Replace `numel` with `sym_numel`. Tested with example in issue and it works now . ",2025-09-25 01:22:36+00:00,2025-09-25T14:07:35Z,,False,3,1,2,44,2,2,4,,44,149,False,True,False,False,False,False,2,1,118,46,44,2,1,2,2.0,2.0,2025-09-25T01:34:44Z,pytorch
163830,open,"Revert ""[RELAND] Always build USE_DISTRIBUTED (#160449) and Make dist…",wdvr,"…ributed modules importable even when backend not built (#159889) (#162594)""

This reverts commit 09cb34c1dce8fe1b880bbf3115d8ddad3401d871.

Fixes #ISSUE_NUMBER


cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @pragupta @ezyang @msaroufim @dcci @EikanWang @jgong5 @wenzhe-nrv @sanchitintel",2025-09-25 01:18:56+00:00,2025-09-25T14:43:48Z,,False,6,0,1,458,778,52,6,,70,309,False,True,False,False,False,False,52,5,1630,1236,458,778,1,1,3.0,5.0,2025-09-25T01:20:04Z,pytorch
163829,open,[Inductor][ATen][FP8] Relax stride check for block-wise scaling when scaling dimension is 1,jananisriram,"Summary: Relax stride check for block-wise scaling (1x128, 128x128) when a dimension of the scaling factor is 1. When the scaling tensor has a dimension of size 1, the stride is effectively ""meaningless"" to PyTorch, i.e. PyTorch decides to replace its stride with a default of `[1, 1]`. However, the old stride check required the stride to match one of the scaling dimensions. Here, we relax the stride check when the effective stride is 1 in order to allow for cases in which `K <= 128` and `N <= 128`.

Test Plan:
```
pytest -s -v test/test_matmul_cuda.py::TestFP8MatmulCUDA::test_scaled_mm_vs_emulated_block_wise_float32_lhs_block_1_rhs_block_128_cuda   2>&1 | tee ~/personal/stride_check.log
```

Differential Revision: D83023706


",2025-09-25 01:15:14+00:00,2025-09-25T02:52:13Z,,False,3,0,1,26,6,1,3,,91,736,False,False,False,False,False,False,1,0,0,32,26,6,1,1,,,,pytorch
163828,open,[Inductor-FX] Remove python_slow grid mode,blaine-rister,"Fixes #ISSUE_NUMBER


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-09-25 00:58:45+00:00,2025-09-25T10:20:37Z,,False,4,0,3,46,63,3,4,,42,223,False,True,False,False,False,False,3,0,0,149,66,83,1,3,,,,pytorch
163827,open,[dde] is_channels_last_strides_2d_s4 -> is_channels_last_strides_2d_s4_false to support unbacked shapes,ColinPeppler,"Adds is_channels_last_strides_2d_s4_or_false which will return False if it can't statically determine is_channels_last_strides_2d_s4.


Summary:
```
  File ""/caffe2/test/inductor/__unbacked_symints__/unbacked_symints#link-tree/torch/_dynamo/utils.py"", line 3547, in run_node
    return node.target(*args, **kwargs)  # type: ignore[operator]
...
  File ""<invalid>"", line 0, in at::_ops::pixel_shuffle::call(at::Tensor const&, long)
...
  File ""<invalid>"", line 0, in at::TensorBase::suggest_memory_format(bool) const
  File ""<invalid>"", line 0, in c10::TensorImpl::is_strides_like_default(c10::MemoryFormat) const
  File ""<invalid>"", line 0, in c10::SymbolicShapeMeta::init_is_channels_last() const
  File ""<invalid>"", line 0, in bool c10::is_channels_last_strides_2d_s4<c10::SymInt>(c10::ArrayRef<c10::SymInt>, c10::ArrayRef<c10::SymInt>)
...
 File ""torch/fx/experimental/symbolic_shapes.py"", line 7593, in _evaluate_expr
    raise self._make_data_dependent_error(

torch._dynamo.exc.UserError: Could not guard on data-dependent expression u0 + 1 > 1

from user code:
   File ""test/inductor/test_unbacked_symints.py"", line 618, in fn
    return torch.nn.functional.pixel_shuffle(repeated, upscale_factor=2)
```

Differential Revision: D83094252


cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-09-25 00:58:04+00:00,2025-09-25T07:00:48Z,,False,2,0,1,30,8,2,2,,103,1448,False,False,False,False,False,False,2,0,0,38,30,8,1,1,,,,pytorch
163826,open,WIP: Testing glossary directive.,AlannaBurke,"Fixes #ISSUE_NUMBER
",2025-09-25 00:41:05+00:00,2025-09-25T02:52:25Z,,False,1,0,1,38,85,3,1,,32,20,False,True,False,False,False,False,3,0,0,123,38,85,1,1,,,,pytorch
163825,closed,[a2av] Separate in/out splits into two tensors,kwen2501,"Stack from [ghstack](https://github.com/ezyang/ghstack/tree/0.12.0) (oldest at bottom):
* #163815
* #163814
* __->__ #163825

",2025-09-25 00:33:31+00:00,2025-09-25T04:27:41Z,,False,1,0,1,34,26,4,1,2025-09-25 04:27:41+00:00,46,126,False,False,False,False,False,False,4,0,0,60,34,26,1,1,,,,pytorch
163824,open,DebugMode supports_higher_order_operators=True,SherlockNoMad,"Make DebugMode supports HOP

cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @pragupta @ezyang @msaroufim @dcci",2025-09-25 00:31:35+00:00,2025-09-25T14:54:19Z,,False,3,0,3,11,0,2,3,,46,130,False,True,False,False,False,False,2,2,493,63,37,26,1,3,3.0,2.0,2025-09-25T05:38:21Z,pytorch
163823,open,[vllm hash update] update the pinned vllm hash,pytorchupdatebot,"This PR is auto-generated nightly by [this action](https://github.com/pytorch/pytorch/blob/main/.github/workflows/nightly.yml).
Update the pinned vllm hash.",2025-09-25 00:26:07+00:00,2025-09-25T05:21:29Z,,False,4,0,1,1,1,1,4,,46,156,False,False,False,False,False,False,1,3,1023,2,1,1,1,1,2.0,3.0,2025-09-25T00:26:08Z,pytorch
163822,open,Handle DDE in infer_size_impl,laithsakka,"Stack from [ghstack](https://github.com/ezyang/ghstack) (oldest at bottom):
* __->__ #163822
* #163652

hit this while running VLLM with unbacked for model Qwen/Qwen2-1.5B-Instruct
",2025-09-25 00:25:33+00:00,2025-09-25T10:34:59Z,,False,3,4,5,35,10,1,7,,29,181,False,False,False,False,False,False,1,2,253,107,66,41,1,5,2.0,2.0,2025-09-25T00:27:39Z,pytorch
163820,open,[WIP][dtensor] avoid shape recompilations on DTensorSpec,pianpwk,"Fixes #ISSUE_NUMBER


cc @H-Huang @awgu @wanchaol @fegin @fduwjj @wz337 @wconstab @d4l3k @pragupta @ezyang @msaroufim @dcci",2025-09-25 00:16:01+00:00,2025-09-25T05:46:05Z,,False,1,0,1,54,1,3,1,,56,123,False,True,False,False,False,False,3,0,0,55,54,1,1,1,,,,pytorch
163819,open,add ABI stable method for updating constant buffer,yushangdi,"Fixes #ISSUE_NUMBER


Example usage:

```
        // Load constants. Create random constants here.
        auto* fc1_w = new slim::SlimTensor(slim::empty({16, 10}, c10::kFloat, c10::Device(c10::kCUDA, 0)));
        fc1_w->fill_(1.0);

        auto* fc1_b = new slim::SlimTensor(slim::empty({16}, c10::kFloat, c10::Device(c10::kCUDA, 0)));
        fc1_b->fill_(1.0);

        auto* fc2_w = new slim::SlimTensor(slim::empty({1, 16}, c10::kFloat, c10::Device(c10::kCUDA, 0)));
        fc2_w->fill_(1.0);

        auto* fc2_b = new slim::SlimTensor(slim::empty({1}, c10::kFloat, c10::Device(c10::kCUDA, 0)));
        fc2_b->fill_(1.0);

        // Build pairs
        std::vector<AOTInductorConstantPair> constants{
            {""fc1_weight"", fc1_w},
            {""fc1_bias"",   fc1_b},
            {""fc2_weight"", fc2_w},
            {""fc2_bias"",   fc2_b},
        };
        std::cout << ""initialized rand map\n"";
        
        if (!update_user_managed_constant_buffer_abi) {
            std::cerr << ""Function pointer not initialized!\n"";
        }


        // Call runtime (pass raw pointer + size)
        update_user_managed_constant_buffer_abi( 
            container_handle,
            constants.data(),
            constants.size(),
            /*use_inactive=*/false,
            /*validate_full_update=*/true);
```

cc @voznesenskym @penguinwu @EikanWang @jgong5 @Guobing-Chen @XiaobingSuper @zhuhaozhe @blzheng @wenzhe-nrv @jiayisunx @ipiszy @chenyang78 @kadeng @muchulee8 @amjames @chauhang @aakhundov @coconutruben",2025-09-25 00:10:41+00:00,2025-09-25T01:07:16Z,,False,1,0,1,34,0,2,1,,50,1527,False,True,False,False,False,False,2,0,0,34,34,0,1,1,,,,pytorch
