pr_number,title,state,merged,created_at,closed_at,updated_at,author,author_is_collaborator,additions,deletions,changed_files,commits,comments,review_comments,file_types_count,directories_count,total_changes,first_review_at,time_to_close_days,response_time_days,review_count,approval_count,change_request_count,reviewer_count,test_files_count,test_changes,doc_files_count,config_files_count,title_length,description_length,has_description,label_count,milestone,is_fork,ahead_by,behind_by,mergeable,mergeable_state,rebaseable,assignees_count,has_test,has_bug,has_feature,has_improve,has_document,has_refactor,directories,language_types,file_types,lines_added,lines_deleted,segs_added,segs_deleted,segs_changed,files_added,files_deleted,files_changed,change_num,files_modified,is_core_member,prev_PRs,title_words,body_words
161144,[Inductor][CPP] Optimize config selecting for micro gemm when number of mxn blocks can not occupy all the threads,closed,False,2025-08-21 06:59:26,2025-08-30 05:53:52,2025-08-30 05:54:56,CaoE,0.0,7,2,1,1,5,4,1.0,1.0,9,2025-08-25 06:51:41,8.954467592592593,3.994618055555556,5.0,1.0,0.0,4.0,0.0,,0.0,0.0,113,441,True,6.0,,True,,,,unknown,,0,False,False,False,True,False,False,1.0,,,7,2,4.0,3.0,2.0,0.0,0.0,1,9,1.0,0.0,6.0,18,58
161145,Add profiler analysis flag to combine multiple profiles into one,closed,False,2025-08-21 07:14:05,2025-08-21 21:37:01,2025-09-21 02:15:47,exclamaforte,0.0,171,0,2,6,6,0,1.0,2.0,219,2025-08-21 18:00:12,0.5992592592592593,0.4486921296296296,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,64,574,True,6.0,,False,,,,unknown,,0,False,False,False,False,False,False,2.0,,,171,0,7.0,2.0,4.0,0.0,0.0,2,219,2.0,0.0,0.0,10,57
161146,[inductor] add libraries_dirs for level_zero,closed,False,2025-08-21 07:21:11,2025-08-21 19:55:25,2025-08-21 19:55:38,xuhancn,0.0,2,1,1,1,3,0,1.0,1.0,3,2025-08-21 17:29:25,0.5237731481481481,0.4223842592592593,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,44,410,True,9.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,2,1,2.0,2.0,1.0,0.0,0.0,1,3,1.0,0.0,2.0,5,43
161148,[CPU][Inductor] Improve performance of A16W8 GEMM template,closed,False,2025-08-21 07:46:13,2025-08-31 09:56:32,2025-08-31 09:57:36,Xia-Weiwen,0.0,92,20,2,8,6,5,1.0,2.0,34209,2025-08-26 01:38:11,10.09049768518519,4.744421296296296,7.0,2.0,0.0,5.0,0.0,,0.0,0.0,58,754,True,7.0,,True,,,,unknown,,0,False,False,False,True,False,False,2.0,,,92,20,13.0,9.0,8.0,0.0,0.0,2,34209,2.0,0.0,5.0,7,107
161149,Fix constant_pad_nd_mps bug when pad is empty,closed,False,2025-08-21 07:52:34,2025-08-21 20:45:30,2025-08-21 21:01:02,can-gaa-hou,0.0,3,0,1,1,6,0,1.0,1.0,3,2025-08-21 18:42:10,0.5367592592592593,0.4511111111111111,1.0,1.0,0.0,2.0,0.0,,0.0,0.0,45,549,True,5.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,3,0,2.0,1.0,1.0,0.0,0.0,1,3,1.0,0.0,0.0,7,54
161152,Update torch-xpu-ops commit pin,closed,False,2025-08-21 09:34:56,2025-08-30 07:19:28,2025-08-30 07:20:30,yucai-intel,0.0,1,1,1,8,11,3,1.0,1.0,33079,2025-08-21 21:42:43,8.905925925925926,0.5054050925925926,4.0,1.0,0.0,3.0,0.0,,1.0,0.0,31,409,True,6.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,33079,1.0,0.0,0.0,4,43
161155,[ZENDNN] Add ZenDNN as an optional third-party lib,open,False,2025-08-21 10:54:45,,2025-09-16 14:46:28,naveenthangudu,0.0,190,4,26,11,2,12,14.0,14.0,144444,2025-08-26 16:44:48,,5.243090277777778,11.0,0.0,1.0,4.0,3.0,,2.0,4.0,50,1150,True,2.0,,False,,,1.0,clean,0.0,0,False,False,False,False,False,False,14.0,,,190,4,61.0,30.0,35.0,4.0,0.0,26,144444,22.0,0.0,1.0,8,149
161156,[ZENDNN] Add ZenDNN linear op support,open,False,2025-08-21 10:54:58,,2025-09-16 14:20:23,naveenthangudu,0.0,242,11,3,11,3,0,2.0,1.0,144536,2025-08-21 16:16:07,,0.2230208333333333,,,,1.0,0.0,,0.0,0.0,37,510,True,3.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,1.0,,,242,11,11.0,11.0,5.0,1.0,0.0,3,144536,2.0,0.0,1.0,6,49
161157,[ZENDNN] Add Prepack op for ZenDNN linear,open,False,2025-08-21 10:55:13,,2025-09-16 14:34:50,naveenthangudu,0.0,106,6,7,11,4,0,6.0,5.0,144404,2025-08-21 16:19:01,,0.2248611111111111,,,,1.0,1.0,,0.0,1.0,41,490,True,3.0,,False,,,1.0,clean,0.0,0,False,False,False,False,False,False,5.0,,,106,6,19.0,13.0,10.0,1.0,0.0,7,144404,6.0,0.0,1.0,7,48
161158,[ZENDNN] Add ZenDNN optimization pass,open,False,2025-08-21 10:55:27,,2025-09-25 15:14:15,naveenthangudu,0.0,416,0,15,11,7,18,4.0,10.0,144887,2025-08-22 17:07:34,,1.258414351851852,12.0,0.0,1.0,4.0,0.0,,0.0,1.0,37,1620,True,6.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,10.0,,,416,0,33.0,15.0,18.0,3.0,0.0,15,144887,12.0,0.0,1.0,5,179
161159,[bucketing] allow convert_element_type after fsdp reduce_scatter,closed,False,2025-08-21 11:22:11,2025-08-22 06:41:52,2025-09-22 02:15:54,IvanKobzarev,0.0,233,205,3,1,6,1,1.0,2.0,438,2025-08-21 14:51:24,0.8053356481481482,0.1452893518518519,2.0,1.0,0.0,4.0,1.0,,0.0,0.0,64,371,True,6.0,,False,,,0.0,dirty,0.0,0,False,False,False,False,False,False,2.0,,,233,205,20.0,18.0,7.0,0.0,0.0,3,438,3.0,0.0,33.0,6,37
161160,Set proper device type before create tensor in distributed environment,closed,False,2025-08-21 12:21:59,2025-08-26 05:19:33,2025-08-26 05:19:33,dayanandav,0.0,1,1,1,1,4,0,1.0,1.0,2,2025-08-21 13:13:32,4.706643518518518,0.03579861111111111,,,,1.0,0.0,,0.0,0.0,70,239,True,4.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,10,33
161161,reshape or view ops validate evenly and unevenly sharded dtensor,open,False,2025-08-21 13:27:31,,2025-09-21 06:01:04,dayanandav,0.0,18,8,2,8,2,9,1.0,2.0,112162,2025-08-21 13:28:28,,0.0006597222222222222,10.0,0.0,1.0,5.0,1.0,,0.0,0.0,64,343,True,5.0,,True,,,,unknown,,0,False,True,False,False,False,False,2.0,,,18,8,4.0,4.0,2.0,0.0,0.0,2,112162,2.0,0.0,0.0,10,41
161164,[BE] Improve torch.inference_mode docs and error message,closed,False,2025-08-21 14:35:18,2025-08-26 20:58:59,2025-08-26 21:01:54,soulitzer,0.0,27,16,2,2,3,1,2.0,2.0,45,2025-08-21 15:08:07,5.266446759259259,0.02278935185185185,3.0,2.0,0.0,5.0,0.0,,0.0,0.0,56,115,True,3.0,,False,,,0.0,dirty,0.0,0,False,False,False,True,True,False,2.0,,,27,16,8.0,8.0,2.0,0.0,0.0,2,45,2.0,0.0,52.0,7,13
161165,[Dependabot] Update(deps): Bump transformers from 4.54.0 to 4.55.3 in /.ci/docker/ci_commit_pins,closed,False,2025-08-21 14:54:09,2025-09-19 17:58:58,2025-09-19 17:59:08,dependabot[bot],0.0,1,1,1,1,5,0,1.0,1.0,2,2025-09-19 17:58:58,29.12834490740741,29.12834490740741,,,,1.0,0.0,,1.0,0.0,96,11184,True,8.0,,False,,,,unknown,,0,False,True,False,True,True,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,10,854
161166,forward fix of #152198,closed,False,2025-08-21 15:06:03,2025-08-21 21:09:51,2025-08-21 21:10:52,jagadish-amd,0.0,1,1,1,1,5,0,1.0,1.0,2,2025-08-21 15:06:29,0.2526388888888889,0.0003009259259259259,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,22,359,True,6.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,1,1,2.0,2.0,1.0,0.0,0.0,1,2,1.0,0.0,0.0,4,41
161168,Quick fix to headers in stable/tensor_inl.h,closed,False,2025-08-21 15:50:07,2025-08-22 01:27:46,2025-09-21 02:15:39,janeyx99,0.0,1,2,1,2,16,2,1.0,1.0,286,2025-08-21 15:53:56,0.4011458333333333,0.002650462962962963,3.0,2.0,0.0,4.0,0.0,,0.0,0.0,43,94,True,3.0,,False,,,0.0,dirty,0.0,0,False,True,False,False,False,False,1.0,,,1,2,2.0,3.0,1.0,0.0,0.0,1,286,1.0,0.0,69.0,6,9
161169,SDP Backend function fix,closed,False,2025-08-21 15:52:55,2025-09-19 20:20:02,2025-09-19 20:21:05,ahkush,0.0,45,0,3,6,13,4,1.0,3.0,117,2025-08-21 16:13:39,29.18549768518519,0.01439814814814815,6.0,2.0,0.0,4.0,1.0,,0.0,0.0,24,1349,True,6.0,,True,,,,unknown,,0,False,True,False,False,False,False,3.0,,,45,0,8.0,3.0,5.0,0.0,0.0,3,117,3.0,0.0,0.0,4,153
161170,[FlexAttention] fixing learnable bias assertion error in inductor,closed,False,2025-08-21 16:02:15,2025-08-23 06:24:24,2025-09-23 02:08:19,liangel-02,0.0,51,8,3,3,3,0,1.0,3.0,65,2025-08-21 22:27:12,1.598715277777778,0.2673263888888889,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,65,737,True,6.0,,False,,,,unknown,,0,False,True,False,False,False,False,3.0,,,51,8,5.0,5.0,3.0,0.0,0.0,3,65,3.0,0.0,0.0,8,97
161171,Clear custom autograd Function ctx.to_save earlier,closed,False,2025-08-21 16:59:18,2025-09-02 03:26:34,2025-09-02 03:27:37,soulitzer,0.0,35,3,3,4,17,0,2.0,3.0,292385,2025-08-29 19:01:12,11.43560185185185,8.084652777777778,1.0,1.0,0.0,3.0,2.0,,0.0,0.0,50,352,True,5.0,,False,,,1.0,clean,0.0,0,False,True,False,False,False,False,3.0,,,35,3,7.0,5.0,5.0,0.0,0.0,3,292385,3.0,0.0,52.0,6,30
161172,[Autograd Lab]: Add attn grad derivation,closed,False,2025-08-21 17:05:16,2025-09-25 13:56:42,2025-09-25 13:56:42,slayton58,0.0,45,0,1,1,2,0,1.0,1.0,45,,34.86905092592593,,,,,3.04663840096911,0.0,,1.0,0.0,40,261,True,1.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,1.0,,,45,0,2.0,1.0,1.0,1.0,0.0,1,45,0.0,0.0,0.0,6,38
161173,[Autograd Lab]: Add python Attn + test,closed,False,2025-08-21 17:05:19,2025-09-25 13:56:43,2025-09-25 13:56:43,slayton58,0.0,91,0,1,1,2,0,1.0,1.0,91,,34.86902777777778,,,,,3.04663840096911,1.0,,0.0,0.0,38,259,True,1.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,1.0,,,91,0,2.0,1.0,1.0,1.0,0.0,1,91,0.0,0.0,0.0,7,35
161174,[Autograd lab]: C++ implicit autograd fn,closed,False,2025-08-21 17:05:23,2025-09-25 13:56:43,2025-09-25 13:56:44,slayton58,0.0,71,0,4,1,4,0,3.0,3.0,71,,34.86898148148148,,,,,3.04663840096911,1.0,,0.0,2.0,40,446,True,0.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,3.0,,,71,0,9.0,4.0,5.0,1.0,0.0,4,71,3.0,0.0,0.0,6,53
161175,[Autograd Lab] Move lab_attn to explicit grad,closed,False,2025-08-21 17:05:27,2025-09-25 13:56:44,2025-09-25 13:56:44,slayton58,0.0,7,7,3,1,2,0,2.0,2.0,14,,34.86894675925926,,,,,3.04663840096911,0.0,,0.0,2.0,45,343,True,0.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,2.0,,,7,7,7.0,7.0,3.0,0.0,0.0,3,14,3.0,0.0,0.0,7,43
161176,[Autograd Lab]: Enforce 2d inputs,closed,False,2025-08-21 17:05:30,2025-09-25 13:56:45,2025-09-25 13:56:45,slayton58,0.0,4,0,1,1,3,0,1.0,1.0,4,,34.86892361111111,,,,,3.04663840096911,0.0,,0.0,0.0,33,239,True,0.0,,False,,,1.0,unstable,0.0,0,False,False,False,False,False,False,1.0,,,4,0,2.0,1.0,1.0,0.0,0.0,1,4,1.0,0.0,0.0,5,33
161177,[cuDNN][convolution] remove redundant conv3d 64bit test,closed,False,2025-08-21 17:13:16,2025-08-25 15:01:07,2025-08-25 15:02:10,eqy,0.0,0,11,1,1,15,0,1.0,1.0,11,2025-08-21 17:16:51,3.908229166666667,0.002488425925925926,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,55,495,True,7.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,0,11,1.0,2.0,1.0,0.0,0.0,1,11,1.0,0.0,14.0,6,46
161178,shape guards,closed,False,2025-08-21 17:29:27,2025-09-08 22:44:12,2025-09-08 22:45:15,avikchaudhuri,0.0,617,123,29,1,25,18,4.0,13.0,740,2025-09-05 19:08:18,18.21857638888889,15.06864583333333,15.0,1.0,0.0,6.0,11.0,,0.0,1.0,12,699,True,12.0,,True,,,,unknown,,0,False,False,False,False,False,False,13.0,,,617,123,215.0,114.0,130.0,0.0,0.0,29,740,29.0,0.0,0.0,2,89
161180,[ROCm] No-fence global reduce,closed,False,2025-08-21 17:38:24,2025-08-26 20:44:03,2025-08-26 20:45:06,amd-hhashemi,0.0,46,0,2,10,10,3,1.0,1.0,178,2025-08-21 19:12:10,5.128923611111111,0.06511574074074074,3.0,1.0,0.0,4.0,0.0,,0.0,0.0,29,346,True,9.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,46,0,10.0,2.0,3.0,0.0,0.0,2,178,2.0,0.0,0.0,4,43
161181,[ROCm] Unroll loads in global_reduce,closed,False,2025-08-21 17:39:10,2025-08-25 15:45:52,2025-08-25 16:01:05,amd-hhashemi,0.0,18,0,1,4,6,0,1.0,1.0,44,2025-08-21 20:26:10,3.921319444444444,0.1159722222222222,2.0,2.0,0.0,4.0,0.0,,0.0,0.0,36,116,True,9.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,18,0,3.0,1.0,2.0,0.0,0.0,1,44,1.0,0.0,0.0,5,10
161182,Move non inductor workflows to Python 3.9 -> 3.10,closed,False,2025-08-21 18:02:30,2025-08-27 02:32:28,2025-08-27 02:33:31,atalman,0.0,60,60,6,8,13,0,3.0,3.0,228,2025-08-21 18:31:45,5.354143518518518,0.0203125,3.0,3.0,0.0,6.0,1.0,,0.0,4.0,49,62,True,6.0,,True,,,,unknown,,0,False,False,False,False,False,False,3.0,,,60,60,36.0,36.0,13.0,1.0,0.0,6,228,5.0,0.0,21.0,9,3
161183,"Support NUMA Binding for Callable Entrypoints, Take 2",closed,False,2025-08-21 18:22:22,2025-08-23 07:23:25,2025-09-23 02:08:29,pdesupinski,0.0,353,489,6,1,8,3,1.0,6.0,842,2025-08-22 17:18:24,1.542395833333333,0.9555787037037037,2.0,1.0,0.0,2.0,1.0,,0.0,0.0,53,2164,True,5.0,,False,,,,unknown,,0,False,False,False,False,True,True,6.0,,,353,489,104.0,125.0,44.0,0.0,0.0,6,842,6.0,0.0,0.0,8,315
161184,Use ROCm MI325 runners for trunk.yml,closed,False,2025-08-21 18:27:41,2025-08-22 16:18:58,2025-08-22 16:34:45,jithunnair-amd,0.0,3,3,1,1,4,0,1.0,1.0,6,2025-08-22 02:38:11,0.910613425925926,0.340625,1.0,1.0,0.0,3.0,0.0,,0.0,1.0,36,100,True,6.0,,False,,,,unknown,,0,False,False,False,False,False,False,1.0,,,3,3,2.0,2.0,1.0,0.0,0.0,1,6,1.0,0.0,7.0,6,9
161185,"[export] Remove unused Model, tensor_paths, constant_paths",closed,False,2025-08-21 18:31:37,2025-08-22 01:07:05,2025-08-22 01:08:08,yiming0416,0.0,5,125,4,1,4,0,4.0,2.0,130,2025-08-21 20:42:31,0.2746296296296296,0.09090277777777778,1.0,1.0,0.0,2.0,0.0,,0.0,1.0,58,528,True,5.0,,True,,,,unknown,,0,False,False,False,False,False,False,2.0,,,5,125,9.0,21.0,15.0,0.0,0.0,4,130,4.0,0.0,1.0,6,73
161190,[rfc][dynamo][export] How to get input and output mapping for export,open,False,2025-08-21 19:18:08,,2025-08-22 19:32:27,anijain2305,0.0,26,1,2,4,2,1,1.0,1.0,53,,,,,,,3.04663840096911,0.0,,0.0,0.0,68,341,True,2.0,,False,,,1.0,unstable,1.0,0,False,False,False,False,False,False,1.0,,,26,1,4.0,3.0,3.0,0.0,0.0,2,53,2.0,0.0,5.0,10,29
161192,enable more tests,closed,False,2025-08-21 19:49:10,2025-08-23 06:01:25,2025-09-23 02:08:24,yangw-dev,0.0,174,14,7,20,6,7,4.0,6.0,9466,2025-08-22 21:18:04,1.425173611111111,1.061736111111111,8.0,1.0,0.0,3.0,4.0,,0.0,2.0,17,194,True,4.0,,False,,,0.0,dirty,0.0,0,False,False,False,False,False,False,6.0,,,174,14,27.0,21.0,18.0,0.0,0.0,7,9466,7.0,0.0,2.0,3,27
161194,[HSDP][Experiment] HSDP mixed precision test implementation,closed,False,2025-08-21 20:03:09,2025-08-21 20:04:14,2025-09-21 02:15:42,anshul-si,0.0,40,10,1,1,1,0,1.0,1.0,50,,0.0007523148148148148,,,,,3.04663840096911,1.0,,0.0,0.0,59,272,True,2.0,,False,,,0.0,dirty,0.0,0,False,False,False,False,False,False,1.0,,,40,10,9.0,6.0,6.0,0.0,0.0,1,50,1.0,0.0,0.0,6,23
161195,[aoti-fx] Output OpOverload fallbacks,closed,False,2025-08-21 20:14:00,2025-08-25 17:03:09,2025-09-25 02:10:49,angelayi,0.0,12,13,3,1,8,0,1.0,3.0,25,2025-08-22 22:57:01,3.867465277777778,1.113206018518518,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,37,458,True,5.0,,False,,,,unknown,,0,False,False,False,False,False,False,3.0,,,12,13,9.0,9.0,4.0,0.0,0.0,3,25,3.0,0.0,8.0,4,58
161196,[inductor] Enable max compatible to msvc for oneAPI headers.,closed,False,2025-08-21 20:18:22,2025-08-22 06:23:28,2025-08-22 08:25:29,xuhancn,0.0,3,0,1,2,3,0,1.0,1.0,5,2025-08-22 04:59:46,0.4202083333333334,0.3620833333333333,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,60,590,True,9.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,3,0,2.0,1.0,1.0,0.0,0.0,1,5,1.0,0.0,2.0,9,60
161197,[inductor] remove Windows unsupported build options.,closed,False,2025-08-21 20:37:39,2025-08-22 06:23:46,2025-08-22 08:25:22,xuhancn,0.0,23,19,1,1,3,0,1.0,1.0,42,2025-08-22 04:59:16,0.4070254629629629,0.3483449074074074,1.0,1.0,0.0,3.0,0.0,,0.0,0.0,52,470,True,8.0,,True,,,,unknown,,0,False,False,False,False,False,False,1.0,,,23,19,3.0,4.0,2.0,0.0,0.0,1,42,1.0,0.0,2.0,6,54
161198,[dynamo] lift backed symint output of item(),closed,False,2025-08-21 20:39:04,2025-08-26 17:06:57,2025-08-26 17:06:58,ydwu4,0.0,84,44,3,6,3,1,1.0,3.0,19511,2025-08-21 21:17:21,4.852696759259259,0.02658564814814815,2.0,1.0,0.0,2.0,1.0,,0.0,0.0,44,1693,True,5.0,,False,,,0.0,dirty,0.0,0,False,False,False,False,False,False,3.0,,,84,44,22.0,22.0,11.0,0.0,0.0,3,19511,3.0,0.0,1.0,7,241
161199,[dynamo] auto lift unbacked symbol in tensor's storage_offset,closed,False,2025-08-21 20:45:40,2025-08-26 17:06:58,2025-08-26 17:08:02,ydwu4,0.0,21,1,2,6,6,0,1.0,2.0,19498,2025-08-21 21:19:06,4.848125,0.02321759259259259,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,61,1190,True,6.0,,False,,,0.0,dirty,0.0,0,False,False,False,False,False,False,2.0,,,21,1,4.0,3.0,2.0,0.0,0.0,2,19498,2.0,0.0,1.0,8,140
161200,Update pyrefly config for better codenav,closed,False,2025-08-21 20:57:18,2025-08-22 23:05:11,2025-08-22 23:06:14,lolpack,0.0,16,5,1,5,7,3,1.0,1.0,31,2025-08-22 14:12:35,1.08880787037037,0.7189467592592592,4.0,2.0,0.0,4.0,0.0,,0.0,0.0,40,104,True,3.0,,True,,,,unknown,,0,False,True,False,False,False,False,1.0,,,16,5,5.0,6.0,4.0,0.0,0.0,1,31,1.0,0.0,0.0,6,11
161201,[BE] Enable `test_index_put_accumulate_duplicate_indices` on MPS,closed,False,2025-08-21 21:03:55,2025-08-21 22:05:44,2025-09-21 02:15:53,malfet,0.0,2,2,1,1,3,0,1.0,1.0,4,2025-08-21 21:28:48,0.04292824074074074,0.01728009259259259,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,64,534,True,3.0,,False,,,0.0,dirty,0.0,0,False,False,False,False,False,False,1.0,,,2,2,3.0,3.0,1.0,0.0,0.0,1,4,1.0,0.0,169.0,5,52
161202,remove old while_loop_schema_gen test,closed,False,2025-08-21 21:04:14,2025-08-22 18:22:32,2025-09-22 02:15:58,ydwu4,0.0,0,16,1,1,3,0,1.0,1.0,16,2025-08-21 21:20:05,0.8877083333333333,0.01100694444444444,1.0,1.0,0.0,3.0,1.0,,0.0,0.0,37,273,True,3.0,,False,,,0.0,dirty,0.0,0,False,True,False,False,False,False,1.0,,,0,16,1.0,2.0,1.0,0.0,0.0,1,16,1.0,0.0,1.0,4,34
161203,[export] Allow tempfile._TemporaryFileWrapper in package_pt2,closed,False,2025-08-21 21:16:46,2025-08-22 04:10:39,2025-08-22 04:11:41,yiming0416,0.0,2,1,2,1,4,0,1.0,2.0,3,2025-08-21 22:23:27,0.2874189814814815,0.04630787037037037,1.0,1.0,0.0,2.0,1.0,,0.0,0.0,60,251,True,4.0,,True,,,,unknown,,0,False,False,False,False,False,False,2.0,,,2,1,4.0,3.0,2.0,0.0,0.0,2,3,2.0,0.0,1.0,5,36
